database_code,domain_name,database_group,language_code,language_name,editability,status,visibility,english_name
bnwikisource,bn.wikisource.org,wikisource,bn,Bangla,public,open,public,Bengali Wikisource
bnwikivoyage,bn.wikivoyage.org,wikivoyage,bn,Bangla,public,open,public,Bengali Wikivoyage
bnwiktionary,bn.wiktionary.org,wiktionary,bn,Bangla,public,open,public,Bengali Wiktionary
boardgovcomwiki,boardgovcom.wikimedia.org,boardgovcom,en,English,private,open,private,Board Governance Committee
boardwiki,board.wikimedia.org,board,en,English,private,open,private,Wikimedia Board Wiki
bowiki,bo.wikipedia.org,wikipedia,bo,Tibetan,public,open,public,Tibetan Wikipedia
bowikibooks,bo.wikibooks.org,wikibooks,bo,Tibetan,public,closed,public,Tibetan Wikibooks
bowiktionary,bo.wiktionary.org,wiktionary,bo,Tibetan,public,closed,public,Tibetan Wiktionary
bpywiki,bpy.wikipedia.org,wikipedia,bpy,Bishnupriya,public,open,public,Bishnupriya Wikipedia
brwiki,br.wikipedia.org,wikipedia,br,Breton,public,open,public,Breton Wikipedia
brwikimedia,br.wikimedia.org,brwikimedia,en,English,public,open,public,Wikimedia Brazil
brwikiquote,br.wikiquote.org,wikiquote,br,Breton,public,open,public,Breton Wikiquote
brwikisource,br.wikisource.org,wikisource,br,Breton,public,open,public,Breton Wikisource
brwiktionary,br.wiktionary.org,wiktionary,br,Breton,public,open,public,Breton Wiktionary
bswiki,bs.wikipedia.org,wikipedia,bs,Bosnian,public,open,public,Bosnian Wikipedia
bswikibooks,bs.wikibooks.org,wikibooks,bs,Bosnian,public,open,public,Bosnian Wikibooks
bswikinews,bs.wikinews.org,wikinews,bs,Bosnian,public,open,public,Bosnian Wikinews
bswikiquote,bs.wikiquote.org,wikiquote,bs,Bosnian,public,open,public,Bosnian Wikiquote
bswikisource,bs.wikisource.org,wikisource,bs,Bosnian,public,open,public,Bosnian Wikisource
bswiktionary,bs.wiktionary.org,wiktionary,bs,Bosnian,public,open,public,Bosnian Wiktionary
