database_code,domain_name,database_group,language_code,language_name,editability,status,visibility,english_name
glkwiki,glk.wikipedia.org,wikipedia,glk,Gilaki,public,open,public,Gilaki Wikipedia
glwiki,gl.wikipedia.org,wikipedia,gl,Galician,public,open,public,Galician Wikipedia
glwikibooks,gl.wikibooks.org,wikibooks,gl,Galician,public,open,public,Galician Wikibooks
glwikiquote,gl.wikiquote.org,wikiquote,gl,Galician,public,open,public,Galician Wikiquote
glwikisource,gl.wikisource.org,wikisource,gl,Galician,public,open,public,Galician Wikisource
glwiktionary,gl.wiktionary.org,wiktionary,gl,Galician,public,open,public,Galician Wiktionary
gnwiki,gn.wikipedia.org,wikipedia,gn,Guarani,public,open,public,Guarani Wikipedia
gnwikibooks,gn.wikibooks.org,wikibooks,gn,Guarani,public,closed,public,Guarani Wikibooks
gnwiktionary,gn.wiktionary.org,wiktionary,gn,Guarani,public,open,public,Guarani Wiktionary
gomwiki,gom.wikipedia.org,wikipedia,gom,Goan Konkani,public,open,public,Goan Konkani Wikipedia
gorwiki,gor.wikipedia.org,wikipedia,gor,Gorontalo,public,open,public,Gorontalo Wikipedia
gotwiki,got.wikipedia.org,wikipedia,got,Gothic,public,open,public,Gothic Wikipedia
gotwikibooks,got.wikibooks.org,wikibooks,got,Gothic,public,closed,public,Gothic Wikibooks
grantswiki,grants.wikimedia.org,grants,en,English,private,open,private,Wikimedia Foundation Grants Discussion
guwiki,gu.wikipedia.org,wikipedia,gu,Gujarati,public,open,public,Gujarati Wikipedia
guwikibooks,gu.wikibooks.org,wikibooks,gu,Gujarati,public,closed,public,Gujarati Wikibooks
guwikiquote,gu.wikiquote.org,wikiquote,gu,Gujarati,public,open,public,Gujarati Wikiquote
guwikisource,gu.wikisource.org,wikisource,gu,Gujarati,public,open,public,Gujarati Wikisource
guwiktionary,gu.wiktionary.org,wiktionary,gu,Gujarati,public,open,public,Gujarati Wiktionary
gvwiki,gv.wikipedia.org,wikipedia,gv,Manx,public,open,public,Manx Wikipedia
gvwiktionary,gv.wiktionary.org,wiktionary,gv,Manx,public,open,public,Manx Wiktionary
hakwiki,hak.wikipedia.org,wikipedia,hak,Hakka Chinese,public,open,public,Hakka Chinese Wikipedia
hawiki,ha.wikipedia.org,wikipedia,ha,Hausa,public,open,public,Hausa Wikipedia
hawiktionary,ha.wiktionary.org,wiktionary,ha,Hausa,public,open,public,Hausa Wiktionary
hawwiki,haw.wikipedia.org,wikipedia,haw,Hawaiian,public,open,public,Hawaiian Wikipedia
hewiki,he.wikipedia.org,wikipedia,he,Hebrew,public,open,public,Hebrew Wikipedia
hewikibooks,he.wikibooks.org,wikibooks,he,Hebrew,public,open,public,Hebrew Wikibooks
hewikinews,he.wikinews.org,wikinews,he,Hebrew,public,open,public,Hebrew Wikinews
hewikiquote,he.wikiquote.org,wikiquote,he,Hebrew,public,open,public,Hebrew Wikiquote
hewikisource,he.wikisource.org,wikisource,he,Hebrew,public,open,public,Hebrew Wikisource
hewikivoyage,he.wikivoyage.org,wikivoyage,he,Hebrew,public,open,public,Hebrew Wikivoyage
hewiktionary,he.wiktionary.org,wiktionary,he,Hebrew,public,open,public,Hebrew Wiktionary
hifwiki,hif.wikipedia.org,wikipedia,hif,Fiji Hindi,public,open,public,Fiji Hindi Wikipedia
hifwiktionary,hif.wiktionary.org,wiktionary,hif,Fiji Hindi,public,open,public,Fiji Hindi Wiktionary
hiwiki,hi.wikipedia.org,wikipedia,hi,Hindi,public,open,public,Hindi Wikipedia
hiwikibooks,hi.wikibooks.org,wikibooks,hi,Hindi,public,open,public,Hindi Wikibooks
hiwikiquote,hi.wikiquote.org,wikiquote,hi,Hindi,public,open,public,Hindi Wikiquote
hiwikisource,hi.wikisource.org,wikisource,hi,Hindi,public,open,public,Hindi Wikisource
hiwikiversity,hi.wikiversity.org,wikiversity,hi,Hindi,public,open,public,Hindi Wikiversity
hiwikivoyage,hi.wikivoyage.org,wikivoyage,hi,Hindi,public,open,public,Hindi Wikivoyage
hiwiktionary,hi.wiktionary.org,wiktionary,hi,Hindi,public,open,public,Hindi Wiktionary
howiki,ho.wikipedia.org,wikipedia,ho,Hiri Motu,public,closed,public,Hiri Motu Wikipedia
hrwiki,hr.wikipedia.org,wikipedia,hr,Croatian,public,open,public,Croatian Wikipedia
hrwikibooks,hr.wikibooks.org,wikibooks,hr,Croatian,public,open,public,Croatian Wikibooks
hrwikiquote,hr.wikiquote.org,wikiquote,hr,Croatian,public,open,public,Croatian Wikiquote
hrwikisource,hr.wikisource.org,wikisource,hr,Croatian,public,open,public,Croatian Wikisource
hrwiktionary,hr.wiktionary.org,wiktionary,hr,Croatian,public,open,public,Croatian Wiktionary
hsbwiki,hsb.wikipedia.org,wikipedia,hsb,Upper Sorbian,public,open,public,Upper Sorbian Wikipedia
hsbwiktionary,hsb.wiktionary.org,wiktionary,hsb,Upper Sorbian,public,open,public,Upper Sorbian Wiktionary
htwiki,ht.wikipedia.org,wikipedia,ht,Haitian Creole,public,open,public,Haitian Creole Wikipedia
htwikisource,ht.wikisource.org,wikisource,ht,Haitian Creole,public,closed,public,Haitian Creole Wikisource
huwiki,hu.wikipedia.org,wikipedia,hu,Hungarian,public,open,public,Hungarian Wikipedia
huwikibooks,hu.wikibooks.org,wikibooks,hu,Hungarian,public,open,public,Hungarian Wikibooks
huwikinews,hu.wikinews.org,wikinews,hu,Hungarian,public,closed,public,Hungarian Wikinews
huwikiquote,hu.wikiquote.org,wikiquote,hu,Hungarian,public,open,public,Hungarian Wikiquote
huwikisource,hu.wikisource.org,wikisource,hu,Hungarian,public,open,public,Hungarian Wikisource
huwiktionary,hu.wiktionary.org,wiktionary,hu,Hungarian,public,open,public,Hungarian Wiktionary
hywiki,hy.wikipedia.org,wikipedia,hy,Armenian,public,open,public,Armenian Wikipedia
hywikibooks,hy.wikibooks.org,wikibooks,hy,Armenian,public,open,public,Armenian Wikibooks
hywikiquote,hy.wikiquote.org,wikiquote,hy,Armenian,public,open,public,Armenian Wikiquote
hywikisource,hy.wikisource.org,wikisource,hy,Armenian,public,open,public,Armenian Wikisource
hywiktionary,hy.wiktionary.org,wiktionary,hy,Armenian,public,open,public,Armenian Wiktionary
hywwiki,hyw.wikipedia.org,wikipedia,hyw,Western Armenian,public,open,public,Western Armenian Wikipedia
hzwiki,hz.wikipedia.org,wikipedia,hz,Herero,public,closed,public,Herero Wikipedia
iawiki,ia.wikipedia.org,wikipedia,ia,Interlingua,public,open,public,Interlingua Wikipedia
iawikibooks,ia.wikibooks.org,wikibooks,ia,Interlingua,public,open,public,Interlingua Wikibooks
iawiktionary,ia.wiktionary.org,wiktionary,ia,Interlingua,public,open,public,Interlingua Wiktionary
id_internalwikimedia,id-internal.wikimedia.org,id-internalwikimedia,en,English,private,open,private,Wikimedia Indonesia (internal)
idwiki,id.wikipedia.org,wikipedia,id,Indonesian,public,open,public,Indonesian Wikipedia
idwikibooks,id.wikibooks.org,wikibooks,id,Indonesian,public,open,public,Indonesian Wikibooks
idwikimedia,id.wikimedia.org,idwikimedia,en,English,private,open,public,Wikimedia Indonesia
idwikiquote,id.wikiquote.org,wikiquote,id,Indonesian,public,open,public,Indonesian Wikiquote
idwikisource,id.wikisource.org,wikisource,id,Indonesian,public,open,public,Indonesian Wikisource
idwiktionary,id.wiktionary.org,wiktionary,id,Indonesian,public,open,public,Indonesian Wiktionary
iegcomwiki,iegcom.wikimedia.org,iegcom,en,English,private,open,private,Individual Engagement Grants Committee Wiki
iewiki,ie.wikipedia.org,wikipedia,ie,Interlingue,public,open,public,Interlingue Wikipedia
iewikibooks,ie.wikibooks.org,wikibooks,ie,Interlingue,public,closed,public,Interlingue Wikibooks
iewiktionary,ie.wiktionary.org,wiktionary,ie,Interlingue,public,open,public,Interlingue Wiktionary
igwiki,ig.wikipedia.org,wikipedia,ig,Igbo,public,open,public,Igbo Wikipedia
iiwiki,ii.wikipedia.org,wikipedia,ii,Sichuan Yi,public,closed,public,Sichuan Yi Wikipedia
ikwiki,ik.wikipedia.org,wikipedia,ik,Inupiaq,public,open,public,Inupiaq Wikipedia
ikwiktionary,ik.wiktionary.org,wiktionary,ik,Inupiaq,public,closed,public,Inupiaq Wiktionary
ilowiki,ilo.wikipedia.org,wikipedia,ilo,Iloko,public,open,public,Iloko Wikipedia
ilwikimedia,il.wikimedia.org,ilwikimedia,en,English,private,open,private,Wikimedia Israel
incubatorwiki,incubator.wikimedia.org,incubator,en,English,public,open,public,Wikimedia Incubator
inhwiki,inh.wikipedia.org,wikipedia,inh,Ingush,public,open,public,Ingush Wikipedia
internalwiki,internal.wikimedia.org,internal,en,English,private,closed,private,Internal
iowiki,io.wikipedia.org,wikipedia,io,Ido,public,open,public,Ido Wikipedia
iowiktionary,io.wiktionary.org,wiktionary,io,Ido,public,open,public,Ido Wiktionary
iswiki,is.wikipedia.org,wikipedia,is,Icelandic,public,open,public,Icelandic Wikipedia
iswikibooks,is.wikibooks.org,wikibooks,is,Icelandic,public,open,public,Icelandic Wikibooks
iswikiquote,is.wikiquote.org,wikiquote,is,Icelandic,public,open,public,Icelandic Wikiquote
iswikisource,is.wikisource.org,wikisource,is,Icelandic,public,open,public,Icelandic Wikisource
iswiktionary,is.wiktionary.org,wiktionary,is,Icelandic,public,open,public,Icelandic Wiktionary
itwiki,it.wikipedia.org,wikipedia,it,Italian,public,open,public,Italian Wikipedia
itwikibooks,it.wikibooks.org,wikibooks,it,Italian,public,open,public,Italian Wikibooks
itwikinews,it.wikinews.org,wikinews,it,Italian,public,open,public,Italian Wikinews
itwikiquote,it.wikiquote.org,wikiquote,it,Italian,public,open,public,Italian Wikiquote
itwikisource,it.wikisource.org,wikisource,it,Italian,public,open,public,Italian Wikisource
itwikiversity,it.wikiversity.org,wikiversity,it,Italian,public,open,public,Italian Wikiversity
itwikivoyage,it.wikivoyage.org,wikivoyage,it,Italian,public,open,public,Italian Wikivoyage
itwiktionary,it.wiktionary.org,wiktionary,it,Italian,public,open,public,Italian Wiktionary
iuwiki,iu.wikipedia.org,wikipedia,iu,Inuktitut,public,open,public,Inuktitut Wikipedia
iuwiktionary,iu.wiktionary.org,wiktionary,iu,Inuktitut,public,open,public,Inuktitut Wiktionary
jamwiki,jam.wikipedia.org,wikipedia,jam,Jamaican Creole English,public,open,public,Jamaican Patois Wikipedia
jawiki,ja.wikipedia.org,wikipedia,ja,Japanese,public,open,public,Japanese Wikipedia
jawikibooks,ja.wikibooks.org,wikibooks,ja,Japanese,public,open,public,Japanese Wikibooks
jawikinews,ja.wikinews.org,wikinews,ja,Japanese,public,open,public,Japanese Wikinews
jawikiquote,ja.wikiquote.org,wikiquote,ja,Japanese,public,open,public,Japanese Wikiquote
jawikisource,ja.wikisource.org,wikisource,ja,Japanese,public,open,public,Japanese Wikisource
jawikiversity,ja.wikiversity.org,wikiversity,ja,Japanese,public,open,public,Japanese Wikiversity
jawiktionary,ja.wiktionary.org,wiktionary,ja,Japanese,public,open,public,Japanese Wiktionary
jbowiki,jbo.wikipedia.org,wikipedia,jbo,Lojban,public,open,public,Lojban Wikipedia
jbowiktionary,jbo.wiktionary.org,wiktionary,jbo,Lojban,public,open,public,Lojban Wiktionary
jvwiki,jv.wikipedia.org,wikipedia,jv,Javanese,public,open,public,Javanese Wikipedia
jvwiktionary,jv.wiktionary.org,wiktionary,jv,Javanese,public,open,public,Javanese Wiktionary
kaawiki,kaa.wikipedia.org,wikipedia,kaa,Kara-Kalpak,public,open,public,Kara-Kalpak Wikipedia
kabwiki,kab.wikipedia.org,wikipedia,kab,Kabyle,public,open,public,Kabyle Wikipedia
kawiki,ka.wikipedia.org,wikipedia,ka,Georgian,public,open,public,Georgian Wikipedia
kawikibooks,ka.wikibooks.org,wikibooks,ka,Georgian,public,open,public,Georgian Wikibooks
kawikiquote,ka.wikiquote.org,wikiquote,ka,Georgian,public,open,public,Georgian Wikiquote
kawiktionary,ka.wiktionary.org,wiktionary,ka,Georgian,public,open,public,Georgian Wiktionary
kbdwiki,kbd.wikipedia.org,wikipedia,kbd,Kabardian,public,open,public,Kabardian Wikipedia
kbpwiki,kbp.wikipedia.org,wikipedia,kbp,Kabiye,public,open,public,Kabiyè Wikipedia
kgwiki,kg.wikipedia.org,wikipedia,kg,Kongo,public,open,public,Kongo Wikipedia
kiwiki,ki.wikipedia.org,wikipedia,ki,Kikuyu,public,open,public,Kikuyu Wikipedia
kjwiki,kj.wikipedia.org,wikipedia,kj,Kuanyama,public,closed,public,Kuanyama Wikipedia
kkwiki,kk.wikipedia.org,wikipedia,kk,Kazakh,public,open,public,Kazakh Wikipedia
kkwikibooks,kk.wikibooks.org,wikibooks,kk,Kazakh,public,open,public,Kazakh Wikibooks
kkwikiquote,kk.wikiquote.org,wikiquote,kk,Kazakh,public,closed,public,Kazakh Wikiquote
kkwiktionary,kk.wiktionary.org,wiktionary,kk,Kazakh,public,open,public,Kazakh Wiktionary
klwiki,kl.wikipedia.org,wikipedia,kl,Kalaallisut,public,open,public,Kalaallisut Wikipedia
klwiktionary,kl.wiktionary.org,wiktionary,kl,Kalaallisut,public,open,public,Kalaallisut Wiktionary
kmwiki,km.wikipedia.org,wikipedia,km,Khmer,public,open,public,Khmer Wikipedia
kmwikibooks,km.wikibooks.org,wikibooks,km,Khmer,public,open,public,Khmer Wikibooks
kmwiktionary,km.wiktionary.org,wiktionary,km,Khmer,public,open,public,Khmer Wiktionary
knwiki,kn.wikipedia.org,wikipedia,kn,Kannada,public,open,public,Kannada Wikipedia
knwikibooks,kn.wikibooks.org,wikibooks,kn,Kannada,public,closed,public,Kannada Wikibooks
knwikiquote,kn.wikiquote.org,wikiquote,kn,Kannada,public,open,public,Kannada Wikiquote
knwikisource,kn.wikisource.org,wikisource,kn,Kannada,public,open,public,Kannada Wikisource
knwiktionary,kn.wiktionary.org,wiktionary,kn,Kannada,public,open,public,Kannada Wiktionary
koiwiki,koi.wikipedia.org,wikipedia,koi,Komi-Permyak,public,open,public,Komi-Permyak Wikipedia
kowiki,ko.wikipedia.org,wikipedia,ko,Korean,public,open,public,Korean Wikipedia
kowikibooks,ko.wikibooks.org,wikibooks,ko,Korean,public,open,public,Korean Wikibooks
kowikinews,ko.wikinews.org,wikinews,ko,Korean,public,open,public,Korean Wikinews
kowikiquote,ko.wikiquote.org,wikiquote,ko,Korean,public,open,public,Korean Wikiquote
kowikisource,ko.wikisource.org,wikisource,ko,Korean,public,open,public,Korean Wikisource
kowikiversity,ko.wikiversity.org,wikiversity,ko,Korean,public,open,public,Korean Wikiversity
kowiktionary,ko.wiktionary.org,wiktionary,ko,Korean,public,open,public,Korean Wiktionary
krcwiki,krc.wikipedia.org,wikipedia,krc,Karachay-Balkar,public,open,public,Karachay-Balkar Wikipedia
krwiki,kr.wikipedia.org,wikipedia,kr,Kanuri,public,closed,public,Kanuri Wikipedia
krwikiquote,kr.wikiquote.org,wikiquote,kr,Kanuri,public,closed,public,Kanuri Wikiquote
kshwiki,ksh.wikipedia.org,wikipedia,ksh,Colognian,public,open,public,Colognian Wikipedia
kswiki,ks.wikipedia.org,wikipedia,ks,Kashmiri,public,open,public,Kashmiri Wikipedia
kswikibooks,ks.wikibooks.org,wikibooks,ks,Kashmiri,public,closed,public,Kashmiri Wikibooks
kswikiquote,ks.wikiquote.org,wikiquote,ks,Kashmiri,public,closed,public,Kashmiri Wikiquote
kswiktionary,ks.wiktionary.org,wiktionary,ks,Kashmiri,public,open,public,Kashmiri Wiktionary
kuwiki,ku.wikipedia.org,wikipedia,ku,Kurdish,public,open,public,Kurdish Wikipedia
kuwikibooks,ku.wikibooks.org,wikibooks,ku,Kurdish,public,open,public,Kurdish Wikibooks
kuwikiquote,ku.wikiquote.org,wikiquote,ku,Kurdish,public,open,public,Kurdish Wikiquote
kuwiktionary,ku.wiktionary.org,wiktionary,ku,Kurdish,public,open,public,Kurdish Wiktionary
kvwiki,kv.wikipedia.org,wikipedia,kv,Komi,public,open,public,Komi Wikipedia
kwwiki,kw.wikipedia.org,wikipedia,kw,Cornish,public,open,public,Cornish Wikipedia
kwwikiquote,kw.wikiquote.org,wikiquote,kw,Cornish,public,closed,public,Cornish Wikiquote
kwwiktionary,kw.wiktionary.org,wiktionary,kw,Cornish,public,open,public,Cornish Wiktionary
kywiki,ky.wikipedia.org,wikipedia,ky,Kyrgyz,public,open,public,Kyrgyz Wikipedia
kywikibooks,ky.wikibooks.org,wikibooks,ky,Kyrgyz,public,open,public,Kyrgyz Wikibooks
kywikiquote,ky.wikiquote.org,wikiquote,ky,Kyrgyz,public,open,public,Kyrgyz Wikiquote
kywiktionary,ky.wiktionary.org,wiktionary,ky,Kyrgyz,public,open,public,Kyrgyz Wiktionary
labswiki,wikitech.wikimedia.org,labs,en,English,public,open,public,Wikitech
labtestwiki,labtestwikitech.wikimedia.org,labtest,en,English,public,open,public,Wikitech Test Wiki
ladwiki,lad.wikipedia.org,wikipedia,lad,Ladino,public,open,public,Ladino Wikipedia
lawiki,la.wikipedia.org,wikipedia,la,Latin,public,open,public,Latin Wikipedia
lawikibooks,la.wikibooks.org,wikibooks,la,Latin,public,open,public,Latin Wikibooks
lawikiquote,la.wikiquote.org,wikiquote,la,Latin,public,open,public,Latin Wikiquote
lawikisource,la.wikisource.org,wikisource,la,Latin,public,open,public,Latin Wikisource
lawiktionary,la.wiktionary.org,wiktionary,la,Latin,public,open,public,Latin Wiktionary
lbewiki,lbe.wikipedia.org,wikipedia,lbe,Lak,public,open,public,Laki Wikipedia
lbwiki,lb.wikipedia.org,wikipedia,lb,Luxembourgish,public,open,public,Luxembourgish Wikipedia
lbwikibooks,lb.wikibooks.org,wikibooks,lb,Luxembourgish,public,closed,public,Luxembourgish Wikibooks
lbwikiquote,lb.wikiquote.org,wikiquote,lb,Luxembourgish,public,closed,public,Luxembourgish Wikiquote
lbwiktionary,lb.wiktionary.org,wiktionary,lb,Luxembourgish,public,open,public,Luxembourgish Wiktionary
legalteamwiki,legalteam.wikimedia.org,legalteam,en,English,private,open,private,Legal Team Wiki
lezwiki,lez.wikipedia.org,wikipedia,lez,Lezghian,public,open,public,Lezghian Wikipedia
lfnwiki,lfn.wikipedia.org,wikipedia,lfn,Lingua Franca Nova,public,open,public,Lingua Franca Nova Wikipedia
lgwiki,lg.wikipedia.org,wikipedia,lg,Ganda,public,open,public,Ganda Wikipedia
lijwiki,lij.wikipedia.org,wikipedia,lij,Ligurian,public,open,public,Ligurian Wikipedia
liwiki,li.wikipedia.org,wikipedia,li,Limburgish,public,open,public,Limburgish Wikipedia
liwikibooks,li.wikibooks.org,wikibooks,li,Limburgish,public,open,public,Limburgish Wikibooks
liwikinews,li.wikinews.org,wikinews,li,Limburgish,public,open,public,Limburgish Wikinews
liwikiquote,li.wikiquote.org,wikiquote,li,Limburgish,public,open,public,Limburgish Wikiquote
liwikisource,li.wikisource.org,wikisource,li,Limburgish,public,open,public,Limburgish Wikisource
liwiktionary,li.wiktionary.org,wiktionary,li,Limburgish,public,open,public,Limburgish Wiktionary
lmowiki,lmo.wikipedia.org,wikipedia,lmo,Lombard,public,open,public,Lombard Wikipedia
lnwiki,ln.wikipedia.org,wikipedia,ln,Lingala,public,open,public,Lingala Wikipedia
lnwikibooks,ln.wikibooks.org,wikibooks,ln,Lingala,public,closed,public,Lingala Wikibooks
lnwiktionary,ln.wiktionary.org,wiktionary,ln,Lingala,public,open,public,Lingala Wiktionary
loginwiki,login.wikimedia.org,login,en,English,public,open,public,Wikimedia Login Wiki
lowiki,lo.wikipedia.org,wikipedia,lo,Lao,public,open,public,Lao Wikipedia
lowiktionary,lo.wiktionary.org,wiktionary,lo,Lao,public,open,public,Lao Wiktionary
lrcwiki,lrc.wikipedia.org,wikipedia,lrc,Northern Luri,public,open,public,Northern Luri Wikipedia
ltgwiki,ltg.wikipedia.org,wikipedia,ltg,Latgalian,public,open,public,Latgalian Wikipedia
ltwiki,lt.wikipedia.org,wikipedia,lt,Lithuanian,public,open,public,Lithuanian Wikipedia
ltwikibooks,lt.wikibooks.org,wikibooks,lt,Lithuanian,public,open,public,Lithuanian Wikibooks
ltwikiquote,lt.wikiquote.org,wikiquote,lt,Lithuanian,public,open,public,Lithuanian Wikiquote
ltwikisource,lt.wikisource.org,wikisource,lt,Lithuanian,public,open,public,Lithuanian Wikisource
ltwiktionary,lt.wiktionary.org,wiktionary,lt,Lithuanian,public,open,public,Lithuanian Wiktionary
lvwiki,lv.wikipedia.org,wikipedia,lv,Latvian,public,open,public,Latvian Wikipedia
lvwikibooks,lv.wikibooks.org,wikibooks,lv,Latvian,public,closed,public,Latvian Wikibooks
lvwiktionary,lv.wiktionary.org,wiktionary,lv,Latvian,public,open,public,Latvian Wiktionary
maiwiki,mai.wikipedia.org,wikipedia,mai,Maithili,public,open,public,Maithili Wikipedia
maiwikimedia,mai.wikimedia.org,maiwikimedia,en,English,private,open,public,Maithili Wikimedians User Group
map_bmswiki,map-bms.wikipedia.org,wikipedia,map-bms,Banyumasan,public,open,public,Basa Banyumasan Wikipedia
mdfwiki,mdf.wikipedia.org,wikipedia,mdf,Moksha,public,open,public,Moksha Wikipedia
mediawikiwiki,www.mediawiki.org,mediawiki,en,English,public,open,public,MediaWiki
metawiki,meta.wikimedia.org,meta,en,English,public,open,public,Meta-Wiki
mgwiki,mg.wikipedia.org,wikipedia,mg,Malagasy,public,open,public,Malagasy Wikipedia
mgwikibooks,mg.wikibooks.org,wikibooks,mg,Malagasy,public,open,public,Malagasy Wikibooks
mgwiktionary,mg.wiktionary.org,wiktionary,mg,Malagasy,public,open,public,Malagasy Wiktionary
mhrwiki,mhr.wikipedia.org,wikipedia,mhr,Eastern Mari,public,open,public,Eastern Mari Wikipedia
mhwiki,mh.wikipedia.org,wikipedia,mh,Marshallese,public,closed,public,Marshallese Wikipedia
mhwiktionary,mh.wiktionary.org,wiktionary,mh,Marshallese,public,closed,public,Marshallese Wiktionary
minwiki,min.wikipedia.org,wikipedia,min,Minangkabau,public,open,public,Minangkabau Wikipedia
minwiktionary,min.wiktionary.org,wiktionary,min,Minangkabau,public,open,public,Minangkabau Wiktionary
miwiki,mi.wikipedia.org,wikipedia,mi,Maori,public,open,public,Maori Wikipedia
miwikibooks,mi.wikibooks.org,wikibooks,mi,Maori,public,closed,public,Maori Wikibooks
miwiktionary,mi.wiktionary.org,wiktionary,mi,Maori,public,open,public,Maori Wiktionary
mkwiki,mk.wikipedia.org,wikipedia,mk,Macedonian,public,open,public,Macedonian Wikipedia
mkwikibooks,mk.wikibooks.org,wikibooks,mk,Macedonian,public,open,public,Macedonian Wikibooks
mkwikimedia,mk.wikimedia.org,mkwikimedia,en,English,public,open,public,Wikimedia Macedonia
mkwikisource,mk.wikisource.org,wikisource,mk,Macedonian,public,open,public,Macedonian Wikisource
mkwiktionary,mk.wiktionary.org,wiktionary,mk,Macedonian,public,open,public,Macedonian Wiktionary
mlwiki,ml.wikipedia.org,wikipedia,ml,Malayalam,public,open,public,Malayalam Wikipedia
mlwikibooks,ml.wikibooks.org,wikibooks,ml,Malayalam,public,open,public,Malayalam Wikibooks
mlwikiquote,ml.wikiquote.org,wikiquote,ml,Malayalam,public,open,public,Malayalam Wikiquote
mlwikisource,ml.wikisource.org,wikisource,ml,Malayalam,public,open,public,Malayalam Wikisource
mlwiktionary,ml.wiktionary.org,wiktionary,ml,Malayalam,public,open,public,Malayalam Wiktionary
mnwiki,mn.wikipedia.org,wikipedia,mn,Mongolian,public,open,public,Mongolian Wikipedia
mnwikibooks,mn.wikibooks.org,wikibooks,mn,Mongolian,public,closed,public,Mongolian Wikibooks
mnwiktionary,mn.wiktionary.org,wiktionary,mn,Mongolian,public,open,public,Mongolian Wiktionary
mnwwiki,mnw.wikipedia.org,wikipedia,mnw,Mon,public,open,public,Mon Wikipedia
movementroleswiki,movementroles.wikimedia.org,movementroles,en,English,private,open,private,Movement Roles
mrjwiki,mrj.wikipedia.org,wikipedia,mrj,Western Mari,public,open,public,Western Mari Wikipedia
mrwiki,mr.wikipedia.org,wikipedia,mr,Marathi,public,open,public,Marathi Wikipedia
mrwikibooks,mr.wikibooks.org,wikibooks,mr,Marathi,public,open,public,Marathi Wikibooks
mrwikiquote,mr.wikiquote.org,wikiquote,mr,Marathi,public,open,public,Marathi Wikiquote
mrwikisource,mr.wikisource.org,wikisource,mr,Marathi,public,open,public,Marathi Wikisource
mrwiktionary,mr.wiktionary.org,wiktionary,mr,Marathi,public,open,public,Marathi Wiktionary
mswiki,ms.wikipedia.org,wikipedia,ms,Malay,public,open,public,Malay Wikipedia
mswikibooks,ms.wikibooks.org,wikibooks,ms,Malay,public,open,public,Malay Wikibooks
mswiktionary,ms.wiktionary.org,wiktionary,ms,Malay,public,open,public,Malay Wiktionary
mtwiki,mt.wikipedia.org,wikipedia,mt,Maltese,public,open,public,Maltese Wikipedia
mtwiktionary,mt.wiktionary.org,wiktionary,mt,Maltese,public,open,public,Maltese Wiktionary
muswiki,mus.wikipedia.org,wikipedia,mus,Muscogee,public,closed,public,Creek Wikipedia
mwlwiki,mwl.wikipedia.org,wikipedia,mwl,Mirandese,public,open,public,Mirandese Wikipedia
mxwikimedia,mx.wikimedia.org,mxwikimedia,en,English,public,open,public,Wikimedia Mexico
myvwiki,myv.wikipedia.org,wikipedia,myv,Erzya,public,open,public,Erzya Wikipedia
mywiki,my.wikipedia.org,wikipedia,my,Burmese,public,open,public,Burmese Wikipedia
mywikibooks,my.wikibooks.org,wikibooks,my,Burmese,public,closed,public,Burmese Wikibooks
mywiktionary,my.wiktionary.org,wiktionary,my,Burmese,public,open,public,Burmese Wiktionary
mznwiki,mzn.wikipedia.org,wikipedia,mzn,Mazanderani,public,open,public,Mazanderani Wikipedia
nahwiki,nah.wikipedia.org,wikipedia,nah,Nahuatl,public,open,public,Nāhuatl Wikipedia
nahwikibooks,nah.wikibooks.org,wikibooks,nah,Nahuatl,public,closed,public,Nāhuatl Wikibooks
nahwiktionary,nah.wiktionary.org,wiktionary,nah,Nahuatl,public,open,public,Nāhuatl Wiktionary
napwiki,nap.wikipedia.org,wikipedia,nap,Neapolitan,public,open,public,Neapolitan Wikipedia
napwikisource,nap.wikisource.org,wikisource,nap,Neapolitan,public,open,public,Neapolitan Wikisource
nawiki,na.wikipedia.org,wikipedia,na,Nauru,public,open,public,Nauru Wikipedia
nawikibooks,na.wikibooks.org,wikibooks,na,Nauru,public,closed,public,Nauru Wikibooks
nawikiquote,na.wikiquote.org,wikiquote,na,Nauru,public,closed,public,Nauru Wikiquote
nawiktionary,na.wiktionary.org,wiktionary,na,Nauru,public,open,public,Nauru Wiktionary
nds_nlwiki,nds-nl.wikipedia.org,wikipedia,nds-nl,Low Saxon,public,open,public,Low Saxon Wikipedia
ndswiki,nds.wikipedia.org,wikipedia,nds,Low German,public,open,public,Low German Wikipedia
ndswikibooks,nds.wikibooks.org,wikibooks,nds,Low German,public,closed,public,Low German Wikibooks
ndswikiquote,nds.wikiquote.org,wikiquote,nds,Low German,public,closed,public,Low German Wikiquote
ndswiktionary,nds.wiktionary.org,wiktionary,nds,Low German,public,open,public,Low German Wiktionary
newiki,ne.wikipedia.org,wikipedia,ne,Nepali,public,open,public,Nepali Wikipedia
newikibooks,ne.wikibooks.org,wikibooks,ne,Nepali,public,open,public,Nepali Wikibooks
newiktionary,ne.wiktionary.org,wiktionary,ne,Nepali,public,open,public,Nepali Wiktionary
newwiki,new.wikipedia.org,wikipedia,new,Newari,public,open,public,Newari Wikipedia
ngwiki,ng.wikipedia.org,wikipedia,ng,Ndonga,public,closed,public,Ndonga Wikipedia
nlwiki,nl.wikipedia.org,wikipedia,nl,Dutch,public,open,public,Dutch Wikipedia
nlwikibooks,nl.wikibooks.org,wikibooks,nl,Dutch,public,open,public,Dutch Wikibooks
